names,links,min_salary,max_salary,currency,site
Программист Python (middle),https://dankov.hh.ru/vacancy/75719539?from=vacancy_search_list&query=python,70000,105000,руб.,https://hh.ru/search/vacancy
Python разработчик,https://dankov.hh.ru/vacancy/77032189?from=vacancy_search_list&query=python,0,200000,руб.,https://hh.ru/search/vacancy
Программист Python в команду ИИ (г. Тюмень),https://dankov.hh.ru/vacancy/76988642?from=vacancy_search_list&query=python,0,0,Не указано,https://hh.ru/search/vacancy
Тестировщик на Python,https://dankov.hh.ru/vacancy/76324042?from=vacancy_search_list&query=python,0,0,Не указано,https://hh.ru/search/vacancy
Стажер,https://dankov.hh.ru/vacancy/76926641?from=vacancy_search_list&query=python,0,80000,руб.,https://hh.ru/search/vacancy
Программист Python,https://dankov.hh.ru/vacancy/77005951?from=vacancy_search_list&query=python,0,0,Не указано,https://hh.ru/search/vacancy
Python developer,https://dankov.hh.ru/vacancy/77107980?from=vacancy_search_list&query=python,120000,240000,руб.,https://hh.ru/search/vacancy
Python разработчик,https://dankov.hh.ru/vacancy/71069892?from=vacancy_search_list&query=python,160000,200000,руб.,https://hh.ru/search/vacancy
Разработчик Python/Django (Middle),https://dankov.hh.ru/vacancy/76602141?from=vacancy_search_list&query=python,0,0,Не указано,https://hh.ru/search/vacancy
Python-разработчик во внутренний каталог сервисов,https://dankov.hh.ru/vacancy/75964210?from=vacancy_search_list&query=python,0,0,Не указано,https://hh.ru/search/vacancy
Тестировщик на Python,https://dankov.hh.ru/vacancy/76324044?from=vacancy_search_list&query=python,0,0,Не указано,https://hh.ru/search/vacancy
Junior Data Analyst,https://dankov.hh.ru/vacancy/76902009?from=vacancy_search_list&query=python,0,0,Не указано,https://hh.ru/search/vacancy
Python программист,https://dankov.hh.ru/vacancy/77082722?from=vacancy_search_list&query=python,0,0,Не указано,https://hh.ru/search/vacancy
Python Backend Developer (Django),https://dankov.hh.ru/vacancy/77088738?from=vacancy_search_list&query=python,0,0,Не указано,https://hh.ru/search/vacancy
Python Developer,https://dankov.hh.ru/vacancy/76341334?from=vacancy_search_list&query=python,150000,230000,руб.,https://hh.ru/search/vacancy
Разработчик Python (искусственный интеллект),https://dankov.hh.ru/vacancy/77038946?from=vacancy_search_list&query=python,0,0,Не указано,https://hh.ru/search/vacancy
Senior Python developer (Django),https://dankov.hh.ru/vacancy/76821522?from=vacancy_search_list&query=python,0,450000,руб.,https://hh.ru/search/vacancy
Разработчик Python,https://dankov.hh.ru/vacancy/73911853?from=vacancy_search_list&query=python,0,170000,руб.,https://hh.ru/search/vacancy
Python-разработчик в R&D отдел,https://dankov.hh.ru/vacancy/49299311?from=vacancy_search_list&query=python,100000,150000,руб.,https://hh.ru/search/vacancy
Python Backend Developer (+NLP),https://dankov.hh.ru/vacancy/76274763?from=vacancy_search_list&query=python,0,0,Не указано,https://hh.ru/search/vacancy
Middle Python разработчик (Django),https://dankov.hh.ru/vacancy/67115536?from=vacancy_search_list&query=python,160000,240000,руб.,https://hh.ru/search/vacancy
